element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Ce 2	4523.075	452.3075	-0.08	0.516	4161.81864	4.5	3.257	26269.477	3.5	8.0	0.95	0.71	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.4	15.96	s	p	F	0	2	58.1	58.0	58.01	Melendez2014	T	T	T	F	T	T
Ce 2	4562.359	456.2359	0.21	0.477	3847.26258	3.5	3.195	25769.413	4.5	10.0	0.67	0.8	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.6	26.43	s	p	F	0	2	58.1	58.0	58.01	Melendez2014	T	T	T	F	T	T
Ce 2	5274.229	527.4229	0.13	1.044	8420.42376	6.5	3.395	27382.522	5.5	12.0	0.98	1.0	99	100000.0	0.0	0.0	0.0	0.0	2.5	1.0	0.23	10.03	d	p	F	0	2	58.1	58.0	58.01	Melendez2014	T	T	T	F	T	T
Co 1	5212.691	521.2691	-0.11	3.5144	28345.533776	4.5	5.892	47522.185	4.5	10.0	1.33	1.33	AO	100000000.0	8.0	-5.47	779.235	-7.241	779.235	1.0	0.38	23.65	d	f	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5247.911	524.7911	-2.08	1.785	14396.988899999998	0.5	4.147	33447.811	0.5	2.0	2.65	0.01	AO	135000000.0	8.13	-6.15	306.26	-7.652	306.26	1.0	0.26	14.34	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5301.039	530.1039	-1.99	1.71	13792.0734	2.5	4.049	32657.388	2.5	6.0	1.6	1.37	AO	132000000.0	8.12	-6.16	296.262	-7.667	296.262	1.0	0.33	18.79	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5342.695	534.2695	0.54	4.021	32431.53634	5.5	6.341	51143.615	6.5	14.0	1.29	1.22	GA	245000000.0	8.39	-4.59	-7.51	-7.51	-7.51	1.0	0.54	39.5	p	d	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5483.352	548.3352	-1.49	1.7104	13795.299615999998	2.5	3.971	32028.275	3.5	8.0	1.6	1.4	AO	79400000.0	7.9	-6.18	291.259	-7.673	291.259	1.0	0.58	40.55	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5530.774	553.0774	-2.23	1.71	13792.0734	2.5	3.952	31875.03	3.5	8.0	1.6	1.78	AO	51300000.0	7.71	-6.2	264.242	-7.713	264.242	1.0	0.3	17.32	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	5647.23	564.723	-1.56	2.28	18389.4312	1.5	4.475	36093.309	2.5	6.0	1.3	1.19	AO	174000000.0	8.24	-6.07	336.262	-7.612	336.262	1.0	0.26	15.66	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	6189.0	618.9	-2.46	1.71	13792.0734	2.5	3.713	29947.365	2.5	6.0	1.6	1.36	AO	36300000.0	7.56	-6.21	254.246	-7.73	254.246	1.0	0.14	8.75	s	p	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Co 1	6454.995	645.4995	-0.25	3.632	29294.04128	3.5	5.552	44779.9	4.5	10.0	1.43	1.33	AO	102000000.0	8.01	-5.39	814.233	-7.222	814.233	1.0	0.23	16.81	p	s	F	0	1	27.0	27.0	27.0	Melendez2014	T	T	T	T	T	T
Cr 1	4936.335	493.6335	-0.25	3.1128	25106.412912	3.0	5.624	45360.619	4.0	9.0	0.97	0.82	AO	81300000.0	7.91	-5.97	342.245	-7.6	342.245	1.0	0.64	45.77	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	5214.14	521.414	-0.74	3.3694	27176.030476	1.0	5.747	46352.681	2.0	5.0	1.47	1.36	AO	20000000.0	7.3	-6.12	254.26	-7.732	254.26	1.0	0.28	16.32	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	5238.964	523.8964	-1.27	2.709	21849.54786	2.0	5.075	40932.636	1.0	3.0	1.85	2.46	AO	191000000.0	8.28	-5.41	368.255	-7.57	368.255	1.0	0.33	19.69	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	T	T	T
Cr 1	5247.566	524.7565999999999	-1.59	0.96	7742.9184	0.0	3.323	26801.803	1.0	3.0	0.0	2.51	AO	66100000.0	7.82	-5.92	329.263	-7.621	329.263	1.0	0.77	82.6	s	p	F	0	1	24.0	24.0	24.0	Melendez2014	T	T	T	F	T	T
