element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Si 1	5645.611	564.5611	-2.040	4.9290	39755.047	1.0	7.1250	57467.001	2.0	5.0	1.500	1.480	GA	3.47E+08	8.540	-4.560	-7.290	-7.290	-7.290	1.000	0.340	31.020	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5649.987	564.9987	-0.800	5.0995	41130.221	1.0	7.2930	58822.012	2.0	5.0	-0.010	0.340	AO	7.59E+08	8.880	-5.290	719.265	-7.282	719.265	1.000	0.380	27.960	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5661.348	566.1348	-1.756	4.2843	34555.193	0.0	6.4740	52216.332	1.0	3.0	0.000	1.420	AO	1.00E+08	8.000	-5.470	765.209	-7.244	765.209	1.000	0.370	26.220	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	5665.554	566.5554	-1.940	4.9200	39682.457	0.0	7.1080	57329.887	1.0	3.0	0.000	1.570	GA	3.39E+08	8.530	-4.570	-7.300	-7.300	-7.300	1.000	0.390	36.680	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5679.023	567.9023	-0.750	4.6520	37520.892	2.0	6.8350	55127.993	3.0	7.0	0.690	1.070	AO	1.62E+08	8.210	-5.060	1106.291	-7.099	1106.291	1.000	0.550	50.610	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Sc 2	5684.190	568.4190	-0.950	1.5070	12154.769	2.0	3.6880	29745.726	1.0	3.0	1.480	1.480	GA	1.48E+08	8.170	-6.550	-7.860	-7.860	-7.860	1.000	0.490	36.960	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	5684.484	568.4484	-1.550	4.9530	39948.620	2.0	7.1340	57539.591	1.0	3.0	1.500	1.840	GA	3.47E+08	8.540	-5.050	-7.300	-7.300	-7.300	1.000	0.530	57.540	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	5690.425	569.0425	-1.770	4.9290	39755.047	1.0	7.1080	57329.887	1.0	3.0	1.500	1.570	GA	3.47E+08	8.540	-4.570	-7.300	-7.300	-7.300	1.000	0.460	45.860	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	5701.104	570.1104	-1.950	4.9300	39763.112	1.0	7.1040	57297.625	0.0	1.0	1.500	0.000	GA	3.47E+08	8.540	-4.740	-7.290	-7.290	-7.290	1.000	0.380	35.640	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5701.544	570.1544	-2.216	2.5590	20639.717	4.0	4.7330	38174.220	3.0	7.0	1.240	1.320	AO	1.62E+08	8.210	-5.910	361.237	-7.576	361.237	1.000	0.720	82.220	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5705.464	570.5464	-1.355	4.3010	34689.888	1.0	6.4740	52216.332	1.0	3.0	-0.020	1.420	AO	2.40E+08	8.380	-5.470	744.231	-7.260	744.231	1.000	0.520	43.440	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Mg 1	5711.088	571.1088	-1.729	4.3450	35044.771	1.0	6.5160	52555.085	0.0	1.0	99.000	99.000	99	5.13E+08	8.710	0.000	0.000	0.000	2.500	1.000	0.660	100.850	p	s	F	0	1	12.0	12.0	12.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
V 1	5727.046	572.7046	-0.011	1.0810	8718.849	3.5	3.2450	26172.690	4.5	10.0	1.390	1.230	AO	8.51E+07	7.930	-5.960	343.237	-7.598	343.237	1.000	0.530	39.550	s	p	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	5793.073	579.3073	-1.960	4.9290	39755.047	1.0	7.0690	57015.331	2.0	5.0	1.500	1.180	GA	3.39E+08	8.530	-4.370	-7.310	-7.310	-7.310	1.000	0.370	35.430	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	5805.217	580.5217	-0.640	4.1672	33610.718	2.0	6.3020	50829.058	3.0	7.0	0.970	1.100	AO	2.40E+08	8.380	-4.580	841.280	-7.216	841.280	1.000	0.480	39.710	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ba 2	5853.670	585.3670	-0.910	0.6040	4871.586	1.5	2.7220	21954.411	1.5	4.0	0.790	1.320	AO	1.00E+05	0.000	0.000	365.264	-7.578	365.264	1.000	0.710	62.110	d	p	F	0	2	56.1	56.0	56.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	5855.076	585.5076	-1.478	4.6075	37161.976	3.0	6.7250	54240.783	4.0	9.0	1.090	0.900	AO	2.14E+08	8.330	-4.540	962.279	-7.158	962.279	1.000	0.330	24.720	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	5866.452	586.6452	-0.840	1.0660	8597.866	2.0	3.1790	25640.364	3.0	7.0	1.490	1.330	AO	1.00E+08	8.000	-6.070	259.262	-7.724	259.262	1.000	0.570	46.790	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	5867.562	586.7562	-1.570	2.9330	23656.229	1.0	5.0450	40690.669	0.0	1.0	1.000	0.000	GA	2.62E+08	8.419	-4.705	-7.460	-7.460	-7.460	1.000	0.310	24.190	p	s	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5905.672	590.5672	-0.690	4.6520	37520.892	2.0	6.7510	54450.488	1.0	3.0	0.690	1.470	AO	2.14E+08	8.330	-4.760	994.282	-7.144	994.282	1.000	0.580	61.690	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5916.247	591.6247	-2.936	2.4530	19784.770	4.0	4.5490	36690.160	4.0	9.0	0.810	1.250	AO	1.17E+08	8.070	-6.090	341.238	-7.601	341.238	1.000	0.590	50.430	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5927.789	592.7789	-1.040	4.6520	37520.892	2.0	6.7430	54385.963	1.0	3.0	0.690	0.760	AO	2.09E+08	8.320	-6.060	984.281	-7.148	984.281	1.000	0.470	41.300	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5934.655	593.4655	-1.070	3.9280	31681.441	2.0	6.0170	48530.378	3.0	7.0	1.170	1.110	AO	6.03E+07	7.780	-5.290	959.247	-7.153	959.247	1.000	0.640	77.320	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5956.694	595.6694	-4.605	0.8589	6927.492	5.0	2.9400	23712.699	4.0	9.0	1.400	1.750	AO	1.00E+04	4.000	-6.170	227.252	-7.780	227.252	1.000	0.610	49.670	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	5987.065	598.7065	-0.212	4.7950	38674.264	2.0	6.8660	55378.025	1.0	3.0	1.150	1.460	GA	2.00E+08	8.300	-4.860	-7.420	-7.420	-7.420	1.000	0.610	67.120	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6003.012	600.3012	-1.060	3.8810	31302.361	4.0	5.9460	47957.725	4.0	9.0	1.250	1.290	AO	5.62E+07	7.750	-5.380	898.241	-7.181	898.241	1.000	0.650	83.130	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6005.541	600.5541	-3.430	2.5880	20873.618	3.0	4.6520	37520.911	2.0	5.0	1.070	0.690	GA	1.17E+08	8.070	-6.290	-7.750	-7.750	-7.750	1.000	0.280	18.080	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6027.050	602.7050	-1.090	4.0758	32873.528	4.0	6.1320	49457.916	5.0	11.0	1.260	1.160	GA	1.02E+08	8.010	-6.030	-7.780	-7.780	-7.780	1.000	0.620	63.740	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6056.005	605.6005	-0.450	4.7330	38174.201	3.0	6.7800	54684.388	4.0	9.0	1.320	1.140	AO	2.09E+08	8.320	-4.950	1029.286	-7.130	1029.286	1.000	0.610	74.970	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6079.009	607.9009	-1.100	4.6520	37520.892	2.0	6.6910	53966.555	2.0	5.0	0.690	1.420	AO	2.14E+08	8.330	-4.500	920.276	-7.177	920.276	1.000	0.450	39.830	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6082.711	608.2711	-3.573	2.2230	17929.695	1.0	4.2600	34359.217	1.0	3.0	2.500	1.500	AO	4.90E+06	6.690	-6.130	306.271	-7.654	306.271	1.000	0.460	34.010	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6086.282	608.6282	-0.510	4.2660	34407.594	1.0	6.3030	50837.124	2.0	5.0	0.510	0.750	AO	2.75E+08	8.440	-4.040	838.279	-7.218	838.279	1.000	0.470	41.110	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
V 1	6090.210	609.0210	-0.062	1.0800	8710.783	3.5	3.1160	25132.235	2.5	6.0	1.390	1.590	AO	4.57E+07	7.660	-6.060	331.239	-7.613	331.239	1.000	0.490	38.240	X	X	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6093.644	609.3644	-1.300	4.6070	37157.943	3.0	6.6420	53571.343	2.0	5.0	1.090	1.400	AO	2.14E+08	8.330	-4.570	866.274	-7.203	866.274	1.000	0.310	24.070	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6096.665	609.6665	-1.810	3.9841	32133.918	2.0	6.0170	48530.378	3.0	7.0	0.680	1.110	AO	5.62E+07	7.750	-5.290	963.250	-7.152	963.250	1.000	0.390	31.670	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6108.116	610.8116	-2.440	1.6760	13517.845	2.0	3.7060	29890.906	2.0	5.0	1.140	1.040	AO	6.46E+07	7.810	-6.120	274.288	-7.705	274.288	1.000	0.640	61.140	s	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
V 1	6119.528	611.9528	-0.320	1.0640	8581.735	2.5	3.0890	24914.465	1.5	4.0	1.350	1.710	AO	4.57E+07	7.660	-6.070	328.240	-7.618	328.240	1.000	0.360	25.800	s	p	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	6125.021	612.5021	-1.500	5.6140	45279.942	1.0	7.6370	61596.560	2.0	5.0	0.500	0.920	GA	8.13E+07	7.910	-5.560	-7.130	-7.130	-7.130	1.000	0.320	33.660	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	6126.217	612.6217	-1.424	1.0660	8597.866	2.0	3.0900	24922.531	1.0	3.0	1.490	1.990	AO	8.32E+06	6.920	-6.100	254.263	-7.733	254.263	1.000	0.280	19.120	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6130.135	613.0135	-0.960	4.2660	34407.594	1.0	6.2880	50716.141	1.0	3.0	0.510	0.450	AO	2.82E+08	8.450	-6.000	825.281	-7.225	825.281	1.000	0.290	21.810	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	6145.015	614.5015	-1.410	5.6160	45296.073	2.0	7.6330	61564.297	3.0	7.0	1.170	0.930	GA	8.32E+07	7.920	-3.630	-7.130	-7.130	-7.130	1.000	0.370	45.210	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6151.618	615.1618	-3.299	2.1759	17549.808	3.0	4.1910	33802.695	2.0	5.0	1.670	1.500	AO	1.95E+08	8.290	-6.160	277.263	-7.696	277.263	1.000	0.570	49.490	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Na 1	6154.225	615.4225	-1.547	2.1023	16956.185	0.5	4.1160	33197.779	0.5	2.0	99.000	99.000	99	7.08E+07	7.850	-4.390	0.000	0.000	2.000	1.000	0.310	31.140	p	s	F	0	1	11.0	11.0	11.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	6157.728	615.7728	-1.220	4.0760	32875.141	4.0	6.0890	49111.097	4.0	9.0	1.260	1.180	GA	7.76E+07	7.890	-6.030	-7.790	-7.790	-7.790	1.000	0.580	56.200	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Na 1	6160.747	616.0747	-1.246	2.1044	16973.122	1.5	4.1160	33197.779	0.5	2.0	99.000	99.000	99	7.08E+07	7.850	-4.390	0.000	0.000	2.000	1.000	0.430	48.360	p	s	F	0	1	11.0	11.0	11.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	6165.360	616.5360	-1.460	4.1426	33412.306	3.0	6.1530	49627.292	4.0	9.0	1.070	0.910	GA	1.00E+08	8.000	-6.020	-7.780	-7.780	-7.780	1.000	0.510	43.490	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	6166.439	616.6439	-1.142	2.5210	20333.226	1.0	4.5310	36544.980	0.0	1.0	0.500	0.000	AO	1.86E+07	7.269	-4.999	976.257	-7.146	976.257	1.000	0.580	72.120	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	6169.042	616.9042	-0.797	2.5230	20349.357	2.0	4.5320	36553.045	1.0	3.0	1.160	1.490	AO	1.98E+07	7.296	-4.997	976.257	-7.146	976.257	1.000	0.640	96.850	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6173.335	617.3335	-2.880	2.2230	17929.695	1.0	4.2310	34125.317	0.0	1.0	2.500	0.000	AO	2.04E+08	8.310	-6.160	281.266	-7.690	281.266	1.000	0.650	67.250	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6176.811	617.6811	-0.260	4.0880	32971.928	4.0	6.0950	49159.491	5.0	11.0	1.220	1.200	AO	1.62E+08	8.210	-4.840	826.284	-7.225	826.284	1.000	0.590	65.680	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6187.990	618.7990	-1.670	3.9430	31802.424	3.0	5.9460	47957.725	4.0	9.0	1.090	1.290	AO	5.62E+07	7.750	-5.380	903.244	-7.179	903.244	1.000	0.490	44.500	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6200.313	620.0313	-2.437	2.6085	21038.961	2.0	4.6080	37166.027	3.0	7.0	0.660	1.090	AO	1.20E+08	8.080	-6.290	350.235	-7.589	350.235	1.000	0.650	71.090	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6204.604	620.4604	-1.140	4.0880	32971.928	4.0	6.0860	49086.901	4.0	9.0	1.220	1.330	AO	1.91E+08	8.280	-5.460	719.247	-7.278	719.247	1.000	0.310	23.700	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6213.430	621.3430	-2.520	2.2227	17927.276	1.0	4.2180	34020.465	1.0	3.0	2.500	1.490	AO	2.04E+08	8.310	-6.160	280.265	-7.691	280.265	1.000	0.690	86.870	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6219.281	621.9281	-2.433	2.1980	17728.057	2.0	4.1910	33802.695	2.0	5.0	1.820	1.500	AO	1.95E+08	8.290	-6.160	278.264	-7.694	278.264	1.000	0.700	90.770	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6223.984	622.3984	-0.980	4.1050	33109.042	3.0	6.0970	49175.622	4.0	9.0	1.190	1.050	AO	2.24E+08	8.350	-4.870	827.283	-7.224	827.283	1.000	0.380	30.420	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6226.736	622.6736	-2.100	3.8830	31318.492	3.0	5.8740	47377.005	4.0	9.0	1.320	1.330	AO	6.76E+07	7.830	-5.270	845.244	-7.208	845.244	1.000	0.310	23.300	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6240.646	624.0646	-3.233	2.2227	17927.276	1.0	4.2090	33947.875	2.0	5.0	2.500	1.490	AO	6.46E+06	6.810	-6.130	301.272	-7.661	301.272	1.000	0.570	50.860	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	6243.823	624.3823	-1.270	5.6160	45296.073	2.0	7.6010	61306.200	3.0	7.0	1.170	0.870	GA	8.13E+07	7.910	-3.500	-7.130	-7.130	-7.130	1.000	0.390	51.000	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Si 1	6244.476	624.4476	-1.320	5.6160	45296.073	2.0	7.6010	61306.200	3.0	7.0	1.170	1.140	GA	8.13E+07	7.910	-3.490	-7.130	-7.130	-7.130	1.000	0.450	63.030	d	f	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Sc 2	6245.630	624.5630	-1.030	1.5070	12154.769	2.0	3.4920	28164.880	3.0	7.0	1.480	1.320	GA	2.40E+08	8.380	-6.590	-7.830	-7.830	-7.830	1.000	0.480	40.980	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	6247.557	624.7557	-2.300	3.8918	31389.469	2.5	5.8760	47393.137	1.5	4.0	1.330	1.720	AO	3.16E+08	8.500	-6.530	186.272	-7.870	186.272	1.000	0.540	54.810	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	6258.104	625.8104	-0.355	1.4430	11638.574	3.0	3.4240	27616.423	4.0	9.0	1.080	1.050	AO	1.78E+08	8.250	-5.990	355.237	-7.582	355.237	1.000	0.550	49.880	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	6261.101	626.1101	-0.479	1.4290	11525.657	2.0	3.4090	27495.439	3.0	7.0	0.670	0.750	AO	1.82E+08	8.260	-5.980	353.236	-7.585	353.236	1.000	0.510	43.340	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6265.134	626.5134	-2.550	2.1759	17549.808	3.0	4.1540	33504.270	3.0	7.0	1.670	1.490	AO	2.00E+08	8.300	-6.160	274.261	-7.700	274.261	1.000	0.690	85.950	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6270.225	627.0225	-2.540	2.8580	23051.313	0.0	4.8350	38996.905	1.0	3.0	0.000	0.490	AO	1.58E+08	8.200	-5.880	350.249	-7.591	350.249	1.000	0.590	57.880	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6271.279	627.1279	-2.703	3.3320	26874.379	5.0	5.3090	42819.973	5.0	11.0	1.400	1.590	AO	1.66E+08	8.220	-5.410	720.247	-7.278	720.247	1.000	0.330	25.390	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Sc 2	6279.760	627.9760	-1.200	1.5000	12098.310	1.0	3.4740	28019.700	2.0	5.0	1.490	1.160	GA	2.40E+08	8.380	-6.590	-7.830	-7.830	-7.830	1.000	0.380	30.460	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Mg 1	6319.236	631.9236	-2.165	5.1080	41198.778	1.0	7.0690	57015.331	1.0	3.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.210	22.200	s	p	F	0	1	12.0	12.0	12.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Zn 1	6362.350	636.2350	0.140	5.7900	46699.477	1.0	7.7440	62459.573	2.0	5.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.310	24.280	p	d	F	0	1	30.0	30.0	30.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ni 1	6378.250	637.8250	-0.900	4.1535	33500.220	3.0	6.0970	49175.622	4.0	9.0	1.200	1.050	AO	2.45E+08	8.390	-4.870	825.283	-7.225	825.283	1.000	0.390	32.700	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6380.743	638.0743	-1.376	4.1860	33762.350	2.0	6.1290	49433.719	2.0	5.0	0.680	0.680	GA	7.59E+07	7.880	-6.030	-7.790	-7.790	-7.790	1.000	0.520	46.500	d	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	6416.919	641.6919	-2.640	3.8918	31389.469	2.5	5.8230	46965.663	2.5	6.0	1.330	1.590	AO	3.16E+08	8.500	-6.530	185.276	-7.873	185.276	1.000	0.450	40.290	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	6432.680	643.2680	-3.570	2.8912	23319.089	2.5	4.8180	38859.791	2.5	6.0	2.000	1.650	AO	2.95E+08	8.470	-6.530	169.204	-7.899	169.204	1.000	0.490	44.370	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	6455.598	645.5598	-1.340	2.5230	20349.357	2.0	4.4430	35835.212	2.0	5.0	1.160	0.890	AO	4.65E+07	7.667	-6.072	365.241	-7.570	365.241	1.000	0.520	55.560	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	6456.383	645.6383	-2.050	3.9036	31484.642	3.5	5.8230	46965.663	2.5	6.0	1.410	1.590	AO	3.16E+08	8.500	-6.530	185.276	-7.873	185.276	1.000	0.570	64.310	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ca 1	6471.662	647.1662	-0.686	2.5250	20365.488	3.0	4.4410	35819.081	3.0	7.0	1.330	1.080	AO	4.42E+07	7.645	-6.072	365.241	-7.570	365.241	1.000	0.630	91.890	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ba 2	6496.900	649.6900	-0.380	0.6040	4871.586	1.5	2.5120	20260.647	0.5	2.0	0.790	99.000	AO	1.00E+05	0.000	0.000	365.264	-7.578	365.264	1.000	0.740	100.490	d	p	F	0	2	56.1	56.0	56.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	6498.939	649.8939	-4.699	0.9581	7727.594	3.0	2.8650	23107.784	3.0	7.0	1.250	1.510	AO	2.29E+04	4.360	-6.210	226.253	-7.782	226.253	1.000	0.510	42.130	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ca 1	6499.650	649.9650	-0.818	2.5230	20349.357	2.0	4.4300	35730.360	2.0	5.0	1.160	0.750	AO	4.37E+07	7.640	-6.072	364.239	-7.571	364.239	1.000	0.610	84.320	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6593.871	659.3871	-2.422	2.4326	19620.233	5.0	4.3130	34786.691	5.0	11.0	1.040	1.220	AO	1.02E+08	8.010	-6.080	321.247	-7.629	321.247	1.000	0.650	82.300	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6597.561	659.7561	-0.980	4.7950	38674.264	2.0	6.6740	53829.441	3.0	7.0	1.150	1.110	AO	2.51E+08	8.400	-4.690	893.276	-7.190	893.276	1.000	0.390	36.400	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	6643.630	664.3630	-2.100	1.6760	13517.845	2.0	3.5420	28568.157	2.0	5.0	1.140	1.490	AO	1.26E+08	8.100	-6.140	258.274	-7.729	258.274	1.000	0.660	81.570	s	p	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Al 1	6696.018	669.6018	-1.481	3.1430	25349.992	0.5	4.9940	40279.327	1.5	4.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.380	42.850	s	p	F	0	1	13.0	13.0	13.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Al 1	6698.667	669.8667	-1.782	3.1430	25349.992	0.5	4.9930	40271.261	0.5	2.0	99.000	99.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.260	27.030	s	p	F	0	1	13.0	13.0	13.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	6703.567	670.3567	-3.023	2.7585	22248.792	3.0	4.6080	37166.027	3.0	7.0	0.760	1.090	AO	1.20E+08	8.080	-6.280	320.264	-7.633	320.264	1.000	0.380	30.240	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6705.102	670.5102	-0.980	4.6070	37157.943	2.0	6.4560	52071.152	2.0	5.0	1.840	1.810	GA	2.51E+08	8.400	-4.470	-7.480	-7.480	-7.480	1.000	0.340	29.260	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	6713.745	671.3745	-1.400	4.7950	38674.264	2.0	6.6420	53571.343	2.0	5.0	1.150	1.400	AO	2.57E+08	8.410	-4.570	857.272	-7.207	857.272	1.000	0.190	15.250	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
