element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support
Ni 1	4953.208	495.3208	-0.660	3.7397	30162.700	2.0	6.2420	50345.126	2.0	5.0	0.990	0.950	AO	1.35E+08	8.130	-5.440	766.234	-7.248	766.234	1.000	0.700	60.830	p	s	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ni 1	5010.938	501.0938	-0.870	3.6350	29318.238	3.0	6.1090	49272.408	3.0	7.0	1.090	1.320	AO	1.82E+08	8.260	-4.370	824.278	-7.225	824.278	1.000	0.650	51.640	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	5022.871	502.2871	-0.434	0.8258	6660.523	3.0	3.2940	26567.902	3.0	7.0	1.250	0.910	AO	8.71E+07	7.940	-6.050	317.245	-7.633	317.245	1.000	0.780	76.220	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Fe 1	5044.211	504.4211	-2.058	2.8512	22996.468	4.0	5.3090	42819.973	5.0	11.0	1.490	1.590	AO	1.48E+08	8.170	-5.410	713.238	-7.280	713.238	1.000	0.760	78.580	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5054.642	505.4642	-1.921	3.6400	29358.566	2.0	6.0920	49135.294	3.0	7.0	1.160	1.210	AO	3.39E+07	7.530	-6.100	353.313	-7.599	353.313	1.000	0.620	43.190	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Y 2	5087.420	508.7420	-0.170	1.0841	8743.852	4.0	3.5200	28390.715	4.0	9.0	1.260	1.250	GA	2.04E+08	8.310	-6.400	-7.810	-7.810	-7.810	1.000	0.720	53.030	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Cu 1	5105.541	510.5541	-1.516	1.3900	11211.101	2.5	3.8170	30786.181	1.5	4.0	1.230	1.330	GA	1.58E+08	8.200	-6.070	-7.790	-7.790	-7.790	1.000	0.780	73.600	s	p	F	0	1	29.0	29.0	29.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Ti 1	5113.448	511.3448	-0.783	1.4430	11638.574	3.0	3.8670	31189.459	2.0	5.0	1.080	1.170	AO	2.34E+07	7.370	-6.010	298.243	-7.660	298.243	1.000	0.490	30.770	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5127.359	512.7359	-3.307	0.9150	7379.969	4.0	3.3320	26874.393	5.0	11.0	1.350	1.400	AO	1.86E+07	7.270	-6.150	243.246	-7.749	243.246	1.000	0.840	102.000	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 1	5147.479	514.7479	-2.012	0.0000	0.000	2.0	2.4080	19421.830	3.0	7.0	0.670	1.070	AO	6.61E+06	6.820	-6.110	255.243	-7.727	255.243	1.000	0.590	39.980	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ni 1	5176.560	517.6560	-0.440	3.8982	31441.088	2.0	6.2930	50756.468	2.0	5.0	1.060	1.190	AO	1.58E+08	8.200	-4.500	819.277	-7.227	819.277	1.000	0.670	61.730	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 2	5197.577	519.7577	-2.220	3.2306	26056.534	2.5	5.6150	45288.030	1.5	4.0	0.570	0.450	AO	2.88E+08	8.460	-6.530	180.247	-7.880	180.247	1.000	0.770	91.650	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Fe 1	5198.711	519.8711	-2.135	2.2230	17929.695	1.0	4.6070	37157.961	2.0	5.0	2.500	1.840	AO	1.70E+08	8.230	-6.070	351.271	-7.594	351.271	1.000	0.800	100.640	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Y 2	5200.413	520.0413	-0.570	0.9923	8003.435	2.0	3.3760	27229.277	2.0	5.0	0.670	0.760	GA	2.00E+08	8.300	-6.400	-7.800	-7.800	-7.800	1.000	0.640	41.050	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T
Ti 2	5211.540	521.1540	-1.490	2.5900	20889.749	3.5	4.9690	40077.688	3.5	8.0	1.140	1.160	GA	2.63E+08	8.420	-6.480	-7.830	-7.830	-7.830	1.000	0.500	34.600	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T
Co 1	5212.691	521.2691	-0.110	3.5144	28345.534	4.5	5.8920	47522.185	4.5	10.0	1.330	1.330	AO	1.00E+08	8.000	-5.470	779.235	-7.241	779.235	1.000	0.380	23.650	d	f	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T
