element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 1	4759.272	475.9272	0.514	2.2555	18191.825	6.0	4.8600	39198.544	6.0	13.0	1.170	1.180	AO	1.20E+08	8.080	-6.040	327.246	-7.620	327.246	1.000	0.710	52.670	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	475.9279	475.9098	475.9429		97854	97836	97869	0.417	0.397	475.9098	475.9429	97836	97869	475.9274	0.0042	-0.4195	1.000	9999.0000	0.0014	0.0100	6.3039	47557	0.420	0.416	0.0045	-5.03	44.7	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4779.985	477.9985	-1.260	2.0477	16515.806	0.5	4.6410	37432.190	0.5	2.0	0.660	2.090	GA	1.70E+08	8.230	-6.460	-7.860	-7.860	-7.860	1.000	0.740	63.150	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	477.9980	477.9760	478.0210		99924	99902	99947	0.541	0.520	477.9760	478.0210	99902	99947	477.9983	0.0046	-0.5415	1.000	9999.0000	0.0011	0.0108	6.7641	44321	0.542	0.537	0.0062	-4.89	62.2	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Zn 1	4810.534	481.0534	-0.160	4.0800	32907.403	2.0	6.6550	53676.195	1.0	3.0	1.500	2.000	99	1.00E+05	0.000	0.000	0.000	0.000	2.500	1.000	0.780	77.250	p	s	F	0	1	30.0	30.0	30.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	481.0532	481.0342	481.0672		102979	102960	102993	0.568	0.548	481.0342	481.0672	102960	102993	481.0536	0.0048	-0.5699	1.000	9999.0000	0.0013	0.0113	7.0648	42435	0.570	0.559	0.0069	-4.84	68.8	0.0	0.0	0.000	0.000	0.0000	0.017	0.0000	0.0000	0	0.000	False	False	False
Ti 1	4820.410	482.0410	-0.439	1.5024	12117.667	4.0	4.0740	32859.026	3.0	7.0	0.980	0.990	AO	1.62E+08	8.210	-5.940	324.250	-7.625	324.250	1.000	0.630	41.940	X	X	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	482.0413	482.0243	482.0603		103967	103950	103986	0.372	0.352	482.0243	482.0603	103950	103986	482.0411	0.0044	-0.3707	1.000	9999.0000	0.0015	0.0104	6.4376	46569	0.371	0.370	0.0041	-5.07	40.8	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Y 2	4854.867	485.4867	-0.380	0.9923	8003.435	2.0	3.5450	28592.353	1.0	3.0	0.670	0.600	GA	2.88E+08	8.460	-6.400	-7.760	-7.760	-7.760	1.000	0.720	47.750	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	485.4865	485.4685	485.5045		107412	107394	107430	0.421	0.401	485.4685	485.5045	107394	107430	485.4870	0.0044	-0.4225	1.000	9999.0000	0.0014	0.0103	6.3509	47205	0.423	0.416	0.0046	-5.02	46.3	0.0	0.0	0.000	0.000	0.0000	0.018	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4865.611	486.5611	-2.810	1.1160	9001.143	3.5	3.6630	29544.088	2.5	6.0	0.890	0.580	GA	1.66E+08	8.220	-6.490	-7.860	-7.860	-7.860	1.000	0.600	39.410	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	486.5616	486.5466	486.5766		108487	108472	108502	0.343	0.323	486.5466	486.5766	108472	108502	486.5616	0.0044	-0.3415	1.000	9999.0000	0.0017	0.0105	6.4526	46461	0.341	0.325	0.0038	-5.11	38.1	0.0	0.0	0.000	0.000	0.0000	0.013	0.0000	0.0000	0	0.000	False	False	False
Ti 2	4874.014	487.4014	-0.900	3.0950	24962.846	1.5	5.6380	45473.537	0.5	2.0	0.800	0.670	GA	1.82E+08	8.260	-6.330	-7.830	-7.830	-7.830	1.000	0.550	37.170	s	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	487.4017	487.3867	487.4177		109327	109312	109343	0.316	0.295	487.3867	487.4177	109312	109343	487.4013	0.0045	-0.3168	1.000	9999.0000	0.0019	0.0106	6.5136	46025	0.317	0.312	0.0036	-5.14	35.7	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
V 1	4875.486	487.5486	-0.810	0.0400	322.622	3.5	2.5820	20825.235	2.5	6.0	1.240	1.350	AO	1.45E+07	7.160	-5.860	250.244	-7.736	250.244	1.000	0.700	48.700	X	X	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	487.5487	487.5247	487.5647		109474	109450	109490	0.383	0.363	487.5247	487.5647	109450	109490	487.5489	0.0047	-0.3836	1.000	9999.0000	0.0015	0.0111	6.8212	43950	0.384	0.383	0.0045	-5.03	45.3	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Y 2	4883.685	488.3685	0.070	1.0841	8743.852	4.0	3.6220	29213.400	3.0	7.0	1.260	1.330	GA	2.95E+08	8.470	-6.400	-7.760	-7.760	-7.760	1.000	0.780	62.230	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	488.3687	488.3537	488.3837		110294	110279	110309	0.505	0.484	488.3537	488.3837	110279	110309	488.3688	0.0044	-0.5033	1.000	9999.0000	0.0014	0.0103	6.3145	47477	0.503	0.482	0.0055	-4.95	55.1	0.0	0.0	0.000	0.000	0.0000	0.019	0.0000	0.0000	0	0.000	False	False	False
Y 2	4900.110	490.0110	-0.090	1.0326	8328.477	3.0	3.5620	28729.468	2.0	5.0	1.090	1.170	GA	2.88E+08	8.460	-6.400	-7.760	-7.760	-7.760	1.000	0.760	57.880	d	p	F	0	2	39.1	39.0	39.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	490.0119	490.0019	490.0329		111937	111927	111958	0.486	0.465	490.0019	490.0329	111927	111958	490.0123	0.0043	-0.4868	1.000	9999.0000	0.0013	0.0102	6.2592	47897	0.487	0.478	0.0053	-4.97	53.0	0.0	0.0	0.000	0.000	0.0000	0.020	0.0000	0.0000	0	0.000	False	False	False
