element	wave_A	wave_nm	loggf	lower_state_eV	lower_state_cm1	lower_j	upper_state_eV	upper_state_cm1	upper_j	upper_g	lande_lower	lande_upper	spectrum_transition_type	turbospectrum_rad	rad	stark	waals	waals_single_gamma_format	turbospectrum_fdamp	spectrum_fudge_factor	theoretical_depth	theoretical_ew	lower_orbital_type	upper_orbital_type	molecule	spectrum_synthe_isotope	ion	spectrum_moog_species	turbospectrum_species	width_species	reference_code	nlte	nlte_level_low	nlte_level_up	nlte_label_low	nlte_label_up	spectrum_support	turbospectrum_support	moog_support	width_support	synthe_support	sme_support	wave_peak	wave_base	wave_top	note	peak	base	top	depth	relative_depth	wave_base_fit	wave_top_fit	base_fit	top_fit	mu	sig	A	baseline	gamma	mu_err	fwhm	fwhm_kms	R	depth_fit	relative_depth_fit	integrated_flux	ewr	ew	ew_err	snr	mean_flux	mean_flux_continuum	diff_wavelength	rms	telluric_wave_peak	telluric_fwhm	telluric_R	telluric_depth	grouped	reference_for_group	discarded
Ti 2	5418.767	541.8767	-2.110	1.5820	12759.684	2.5	3.8690	31205.590	2.5	6.0	1.200	0.870	GA	1.41E+08	8.150	-6.590	-7.850	-7.850	-7.850	1.000	0.590	46.500	d	p	F	0	2	22.1	22.0	22.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	541.8775	541.8595	541.8955		163799	163781	163817	0.384	0.364	541.8595	541.8955	163781	163817	541.8773	0.0049	-0.3837	1.000	9999.0000	0.0016	0.0116	6.4210	46689	0.384	0.376	0.0047	-5.06	47.4	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 2	5425.257	542.5257	-3.220	3.1996	25806.502	4.5	5.4840	44231.443	4.5	10.0	1.150	1.320	AO	2.88E+08	8.460	-6.530	178.255	-7.886	178.255	1.000	0.570	45.590	s	p	F	0	2	26.1	26.0	26.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	542.5256	542.5046	542.5516		164447	164426	164473	0.316	0.295	542.5046	542.5516	164426	164473	542.5253	0.0050	-0.3154	1.000	9999.0000	0.0016	0.0117	6.4544	46447	0.315	0.313	0.0039	-5.14	39.2	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5466.396	546.6396	-0.565	4.3710	35254.475	4.0	6.6390	53547.147	3.0	7.0	1.100	1.350	AO	2.04E+08	8.310	-4.580	865.278	-7.204	865.278	1.000	0.690	80.970	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	546.6399	546.6189	546.6659		168561	168540	168587	0.535	0.515	546.6189	546.6659	168540	168587	546.6402	0.0055	-0.5348	1.000	9999.0000	0.0013	0.0130	7.1163	42128	0.535	0.531	0.0074	-4.87	73.9	0.0	0.0	0.000	0.000	0.0000	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5466.987	546.6987	-2.230	3.5730	28818.174	5.0	5.8410	47110.843	4.0	9.0	1.000	0.880	GA	3.31E+07	7.520	-5.820	-7.820	-7.820	-7.820	1.000	0.490	32.690	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	546.6989	546.6819	546.7149		168620	168603	168636	0.271	0.251	546.6819	546.7149	168603	168636	546.6989	0.0049	-0.2695	1.000	9999.0000	0.0021	0.0114	6.2632	47866	0.269	0.268	0.0033	-5.22	32.8	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Co 1	5483.352	548.3352	-1.490	1.7104	13795.300	2.5	3.9710	32028.275	3.5	8.0	1.600	1.400	AO	7.94E+07	7.900	-6.180	291.259	-7.673	291.259	1.000	0.580	40.550	s	p	F	0	1	27.0	27.0	27.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	548.3360	548.3230	548.3570		170257	170244	170278	0.330	0.310	548.3230	548.3570	170244	170278	548.3358	0.0061	-0.3320	1.000	9999.0000	0.0025	0.0144	7.8703	38092	0.332	0.326	0.0051	-5.03	50.9	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5490.150	549.0150	-0.933	1.4600	11775.688	4.0	3.7180	29987.693	3.0	7.0	1.260	1.490	AO	1.51E+08	8.180	-6.100	374.262	-7.564	374.262	1.000	0.390	25.210	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	549.0150	549.0020	549.0310		170936	170923	170952	0.183	0.162	549.0020	549.0310	170923	170952	549.0154	0.0046	-0.1834	1.000	9999.0000	0.0028	0.0109	5.9383	50485	0.183	0.177	0.0021	-5.41	21.2	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Ca 1	5512.980	551.2980	-0.464	2.9330	23656.229	1.0	5.1810	41787.583	0.0	1.0	1.000	0.000	GA	2.80E+08	8.447	-4.053	-7.316	-7.316	-7.316	1.000	0.680	89.700	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	551.2982	551.2692	551.3202		173219	173190	173241	0.543	0.522	551.2692	551.3202	173190	173241	551.2984	0.0060	-0.5416	1.000	9999.0000	0.0013	0.0140	7.6292	39295	0.542	0.531	0.0081	-4.83	80.9	0.0	0.0	0.000	0.000	0.0000	0.019	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5522.446	552.2446	-1.310	4.2090	33947.858	2.0	6.4530	52046.955	2.0	5.0	1.490	1.570	AO	1.05E+08	8.020	-5.570	744.215	-7.257	744.215	1.000	0.500	37.660	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	552.2453	552.2273	552.2633		174166	174148	174184	0.339	0.318	552.2273	552.2633	174148	174184	552.2449	0.0049	-0.3391	1.000	9999.0000	0.0018	0.0115	6.2231	48174	0.339	0.331	0.0041	-5.13	41.4	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5546.506	554.6506	-1.180	4.3710	35254.475	4.0	6.6060	53280.984	5.0	11.0	1.100	1.220	AO	2.04E+08	8.310	-5.060	825.278	-7.224	825.278	1.000	0.520	42.240	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	554.6514	554.6324	554.6684		176572	176553	176589	0.377	0.357	554.6324	554.6684	176553	176589	554.6511	0.0052	-0.3776	1.000	9999.0000	0.0018	0.0122	6.5992	45429	0.378	0.369	0.0049	-5.05	49.1	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5560.211	556.0211	-1.160	4.4340	35762.604	4.0	6.6640	53748.785	3.0	7.0	1.100	1.260	AO	1.91E+08	8.280	-4.240	895.278	-7.189	895.278	1.000	0.540	45.660	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	556.0215	556.0025	556.0445		177942	177923	177965	0.390	0.370	556.0025	556.0445	177923	177965	556.0216	0.0051	-0.3890	1.000	9999.0000	0.0016	0.0119	6.4395	46555	0.389	0.386	0.0049	-5.05	49.5	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ca 1	5581.965	558.1965	-0.555	2.5229	20348.551	2.0	4.7440	38262.941	3.0	7.0	1.160	1.330	AO	7.13E+07	7.853	-6.072	400.282	-7.538	400.282	1.000	0.710	96.080	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	558.1977	558.1727	558.2207		180118	180093	180141	0.611	0.590	558.1727	558.2207	180093	180141	558.1975	0.0059	-0.6100	1.000	9999.0000	0.0012	0.0138	7.4070	40474	0.610	0.597	0.0090	-4.79	89.6	0.0	0.0	0.000	0.000	0.0000	0.016	0.0000	0.0000	0	0.000	False	False	False
Ni 1	5589.358	558.9358	-1.140	3.8980	31439.475	2.0	6.1160	49328.867	2.0	5.0	1.060	1.000	AO	1.55E+08	8.190	-4.540	831.277	-7.221	831.277	1.000	0.390	27.840	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	558.9358	558.9187	558.9548		180856	180839	180875	0.210	0.189	558.9187	558.9548	180839	180875	558.9361	0.0049	-0.2104	1.000	9999.0000	0.0024	0.0115	6.1639	48637	0.210	0.209	0.0026	-5.34	25.7	0.0	0.0	0.000	0.000	0.0000	0.002	0.0000	0.0000	0	0.000	False	False	False
Ca 1	5590.114	559.0114	-0.571	2.5210	20333.226	1.0	4.7390	38222.613	2.0	5.0	0.500	1.170	AO	7.11E+07	7.852	-6.071	399.282	-7.539	399.282	1.000	0.710	95.220	s	p	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	559.0118	558.9958	559.0308		180932	180916	180951	0.597	0.577	558.9958	559.0308	180916	180951	559.0120	0.0058	-0.5977	1.000	9999.0000	0.0015	0.0137	7.3699	40678	0.598	0.584	0.0087	-4.81	87.4	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5618.633	561.8633	-1.276	4.2090	33947.858	2.0	6.4150	51740.465	2.0	5.0	1.490	1.130	AO	1.55E+08	8.190	-5.570	732.214	-7.264	732.214	1.000	0.580	51.850	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	561.8640	561.8460	561.8810		183784	183766	183801	0.380	0.359	561.8460	561.8810	183766	183801	561.8637	0.0050	-0.3792	1.000	9999.0000	0.0017	0.0118	6.3103	47508	0.379	0.370	0.0048	-5.07	47.7	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5638.262	563.8262	-0.810	4.2200	34036.579	4.0	6.4190	51772.727	3.0	7.0	1.340	1.490	AO	2.40E+08	8.380	-5.340	730.235	-7.269	730.235	1.000	0.660	73.770	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	563.8271	563.7951	563.8511		185747	185715	185771	0.513	0.492	563.7951	563.8511	185715	185771	563.8266	0.0057	-0.5127	1.000	9999.0000	0.0012	0.0135	7.1728	41796	0.513	0.510	0.0074	-4.88	73.6	0.0	0.0	0.000	0.000	0.0000	0.013	0.0000	0.0000	0	0.000	False	False	False
Si 1	5645.611	564.5611	-2.040	4.9290	39755.047	1.0	7.1250	57467.001	2.0	5.0	1.500	1.480	GA	3.47E+08	8.540	-4.560	-7.290	-7.290	-7.290	1.000	0.340	31.020	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	564.5612	564.5381	564.5742		186481	186458	186494	0.240	0.220	564.5381	564.5742	186458	186494	564.5612	0.0058	-0.2386	1.000	9999.0000	0.0026	0.0136	7.2285	41474	0.239	0.234	0.0035	-5.21	34.6	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5649.987	564.9987	-0.800	5.0995	41130.221	1.0	7.2930	58822.012	2.0	5.0	-0.010	0.340	AO	7.59E+08	8.880	-5.290	719.265	-7.282	719.265	1.000	0.380	27.960	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	564.9992	564.9832	565.0192		186919	186903	186939	0.263	0.242	564.9832	565.0192	186903	186939	564.9990	0.0052	-0.2621	1.000	9999.0000	0.0022	0.0122	6.4855	46225	0.262	0.259	0.0034	-5.22	34.1	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5661.348	566.1348	-1.756	4.2843	34555.193	0.0	6.4740	52216.332	1.0	3.0	0.000	1.420	AO	1.00E+08	8.000	-5.470	765.209	-7.244	765.209	1.000	0.370	26.220	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	566.1343	566.1173	566.1563		188054	188037	188076	0.172	0.152	566.1173	566.1563	188037	188076	566.1349	0.0049	-0.1732	1.000	9999.0000	0.0027	0.0115	6.1032	49120	0.173	0.172	0.0021	-5.43	21.3	0.0	0.0	0.000	0.000	0.0000	0.003	0.0000	0.0000	0	0.000	False	False	False
Si 1	5665.554	566.5554	-1.940	4.9200	39682.457	0.0	7.1080	57329.887	1.0	3.0	0.000	1.570	GA	3.39E+08	8.530	-4.570	-7.300	-7.300	-7.300	1.000	0.390	36.680	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	566.5563	566.5333	566.5813		188476	188453	188501	0.263	0.242	566.5333	566.5813	188453	188501	566.5560	0.0059	-0.2621	1.000	9999.0000	0.0021	0.0139	7.3593	40736	0.262	0.261	0.0039	-5.16	38.8	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5679.023	567.9023	-0.750	4.6520	37520.892	2.0	6.8350	55127.993	3.0	7.0	0.690	1.070	AO	1.62E+08	8.210	-5.060	1106.291	-7.099	1106.291	1.000	0.550	50.610	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	567.9024	567.8814	567.9294		189822	189801	189849	0.417	0.397	567.8814	567.9294	189801	189849	567.9028	0.0054	-0.4173	1.000	9999.0000	0.0014	0.0126	6.6709	44940	0.417	0.414	0.0056	-5.01	56.1	0.0	0.0	0.000	0.000	0.0000	0.009	0.0000	0.0000	0	0.000	False	False	False
Sc 2	5684.190	568.4190	-0.950	1.5070	12154.769	2.0	3.6880	29745.726	1.0	3.0	1.480	1.480	GA	1.48E+08	8.170	-6.550	-7.860	-7.860	-7.860	1.000	0.490	36.960	d	p	F	0	2	21.1	21.0	21.01	Melendez20	F	0	0	none	none	T	T	T	T	T	T	568.4194	568.4024	568.4324		190339	190322	190352	0.277	0.256	568.4024	568.4324	190322	190352	568.4195	0.0051	-0.2757	1.000	9999.0000	0.0024	0.0121	6.3953	46877	0.276	0.272	0.0036	-5.20	35.6	0.0	0.0	0.000	0.000	0.0000	0.007	0.0000	0.0000	0	0.000	False	False	False
Si 1	5684.484	568.4484	-1.550	4.9530	39948.620	2.0	7.1340	57539.591	1.0	3.0	1.500	1.840	GA	3.47E+08	8.540	-5.050	-7.300	-7.300	-7.300	1.000	0.530	57.540	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	568.4484	568.4324	568.4734		190368	190352	190393	0.391	0.371	568.4324	568.4734	190352	190393	568.4489	0.0059	-0.3920	1.000	9999.0000	0.0018	0.0140	7.3599	40733	0.392	0.384	0.0058	-4.99	58.2	0.0	0.0	0.000	0.000	0.0000	0.010	0.0000	0.0000	0	0.000	False	False	False
Si 1	5690.425	569.0425	-1.770	4.9290	39755.047	1.0	7.1080	57329.887	1.0	3.0	1.500	1.570	GA	3.47E+08	8.540	-4.570	-7.300	-7.300	-7.300	1.000	0.460	45.860	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	569.0425	569.0255	569.0685		190962	190945	190988	0.361	0.340	569.0255	569.0685	190945	190988	569.0429	0.0055	-0.3595	1.000	9999.0000	0.0017	0.0130	6.8737	43615	0.359	0.356	0.0050	-5.06	49.9	0.0	0.0	0.000	0.000	0.0000	0.012	0.0000	0.0000	0	0.000	False	False	False
Si 1	5701.104	570.1104	-1.950	4.9300	39763.112	1.0	7.1040	57297.625	0.0	1.0	1.500	0.000	GA	3.47E+08	8.540	-4.740	-7.290	-7.290	-7.290	1.000	0.380	35.640	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	570.1105	570.0885	570.1305		192030	192008	192050	0.255	0.235	570.0885	570.1305	192008	192050	570.1106	0.0057	-0.2541	1.000	9999.0000	0.0023	0.0134	7.0246	42678	0.254	0.251	0.0036	-5.20	36.1	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5701.544	570.1544	-2.216	2.5590	20639.717	4.0	4.7330	38174.220	3.0	7.0	1.240	1.320	AO	1.62E+08	8.210	-5.910	361.237	-7.576	361.237	1.000	0.720	82.220	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	570.1555	570.1305	570.1765		192075	192050	192096	0.555	0.534	570.1305	570.1765	192050	192096	570.1552	0.0057	-0.5549	1.000	9999.0000	0.0013	0.0135	7.1103	42163	0.555	0.551	0.0080	-4.85	79.9	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5705.464	570.5464	-1.355	4.3010	34689.888	1.0	6.4740	52216.332	1.0	3.0	-0.020	1.420	AO	2.40E+08	8.380	-5.470	744.231	-7.260	744.231	1.000	0.520	43.440	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	570.5466	570.5286	570.5676		192466	192448	192487	0.286	0.266	570.5286	570.5676	192448	192487	570.5468	0.0051	-0.2852	1.000	9999.0000	0.0020	0.0120	6.2832	47714	0.285	0.283	0.0036	-5.20	36.3	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Mg 1	5711.088	571.1088	-1.729	4.3450	35044.771	1.0	6.5160	52555.085	0.0	1.0	99.000	99.000	99	5.13E+08	8.710	0.000	0.000	0.000	2.500	1.000	0.660	100.850	p	s	F	0	1	12.0	12.0	12.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	571.1096	571.0846	571.1376		193029	193004	193057	0.559	0.539	571.0846	571.1376	193004	193057	571.1092	0.0071	-0.5585	1.000	9999.0000	0.0015	0.0167	8.7785	34151	0.558	0.540	0.0099	-4.76	99.4	0.0	0.0	0.000	0.000	0.0000	0.016	0.0000	0.0000	0	0.000	False	False	False
V 1	5727.046	572.7046	-0.011	1.0810	8718.849	3.5	3.2450	26172.690	4.5	10.0	1.390	1.230	AO	8.51E+07	7.930	-5.960	343.237	-7.598	343.237	1.000	0.530	39.550	s	p	F	0	1	23.0	23.0	23.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	572.7047	572.6917	572.7267		194624	194611	194646	0.268	0.247	572.6917	572.7267	194611	194646	572.7050	0.0058	-0.2679	1.000	9999.0000	0.0025	0.0136	7.1149	42136	0.268	0.265	0.0039	-5.17	38.8	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Si 1	5793.073	579.3073	-1.960	4.9290	39755.047	1.0	7.0690	57015.331	2.0	5.0	1.500	1.180	GA	3.39E+08	8.530	-4.370	-7.310	-7.310	-7.310	1.000	0.370	35.430	s	p	F	0	1	14.0	14.0	14.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	579.3072	579.2832	579.3312		201226	201202	201250	0.276	0.255	579.2832	579.3312	201202	201250	579.3075	0.0060	-0.2750	1.000	9999.0000	0.0021	0.0141	7.2808	41176	0.275	0.272	0.0041	-5.15	41.2	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Ni 1	5805.217	580.5217	-0.640	4.1672	33610.718	2.0	6.3020	50829.058	3.0	7.0	0.970	1.100	AO	2.40E+08	8.380	-4.580	841.280	-7.216	841.280	1.000	0.480	39.710	p	d	F	0	1	28.0	28.0	28.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	580.5223	580.5033	580.5463		202441	202422	202465	0.288	0.267	580.5033	580.5463	202422	202465	580.5223	0.0055	-0.2879	1.000	9999.0000	0.0021	0.0130	6.6955	44775	0.288	0.288	0.0040	-5.16	39.7	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ba 2	5853.670	585.3670	-0.910	0.6040	4871.586	1.5	2.7220	21954.411	1.5	4.0	0.790	1.320	AO	1.00E+05	0.000	0.000	365.264	-7.578	365.264	1.000	0.710	62.110	d	p	F	0	2	56.1	56.0	56.01	Melendez20	F	0	0	none	none	T	T	T	F	T	T	585.3686	585.3456	585.3896		207287	207264	207308	0.484	0.464	585.3456	585.3896	207264	207308	585.3683	0.0049	-0.4835	1.000	9999.0000	0.0013	0.0117	5.9670	50242	0.483	0.477	0.0060	-4.99	60.0	0.0	0.0	0.000	0.000	0.0000	0.013	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5855.076	585.5076	-1.478	4.6075	37161.976	3.0	6.7250	54240.783	4.0	9.0	1.090	0.900	AO	2.14E+08	8.330	-4.540	962.279	-7.158	962.279	1.000	0.330	24.720	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	585.5086	585.4936	585.5256		207427	207412	207444	0.168	0.147	585.4936	585.5256	207412	207444	585.5082	0.0051	-0.1677	1.000	9999.0000	0.0029	0.0121	6.2035	48326	0.168	0.164	0.0022	-5.43	21.6	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Ti 1	5866.452	586.6452	-0.840	1.0660	8597.866	2.0	3.1790	25640.364	3.0	7.0	1.490	1.330	AO	1.00E+08	8.000	-6.070	259.262	-7.724	259.262	1.000	0.570	46.790	s	p	F	0	1	22.0	22.0	22.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	586.6457	586.6287	586.6767		208564	208547	208595	0.353	0.333	586.6287	586.6767	208547	208595	586.6457	0.0053	-0.3523	1.000	9999.0000	0.0016	0.0124	6.3391	47292	0.352	0.352	0.0047	-5.10	46.5	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Ca 1	5867.562	586.7562	-1.570	2.9330	23656.229	1.0	5.0450	40690.669	0.0	1.0	1.000	0.000	GA	2.62E+08	8.419	-4.705	-7.460	-7.460	-7.460	1.000	0.310	24.190	p	s	F	0	1	20.0	20.0	20.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	586.7567	586.7377	586.7747		208675	208656	208693	0.188	0.167	586.7377	586.7747	208656	208693	586.7567	0.0054	-0.1873	1.000	9999.0000	0.0028	0.0128	6.5486	45780	0.187	0.186	0.0026	-5.36	25.6	0.0	0.0	0.000	0.000	0.0000	0.005	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5905.672	590.5672	-0.690	4.6520	37520.892	2.0	6.7510	54450.488	1.0	3.0	0.690	1.470	AO	2.14E+08	8.330	-4.760	994.282	-7.144	994.282	1.000	0.580	61.690	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	590.5680	590.5460	590.5900		212486	212464	212508	0.399	0.378	590.5460	590.5900	212464	212508	590.5677	0.0055	-0.3984	1.000	9999.0000	0.0016	0.0129	6.5514	45760	0.398	0.390	0.0055	-5.03	54.7	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5916.247	591.6247	-2.936	2.4530	19784.770	4.0	4.5490	36690.160	4.0	9.0	0.810	1.250	AO	1.17E+08	8.070	-6.090	341.238	-7.601	341.238	1.000	0.590	50.430	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	591.6251	591.6101	591.6431		213543	213528	213561	0.396	0.375	591.6101	591.6431	213528	213561	591.6255	0.0053	-0.3960	1.000	9999.0000	0.0018	0.0124	6.2880	47677	0.396	0.384	0.0052	-5.05	52.3	0.0	0.0	0.000	0.000	0.0000	0.008	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5927.789	592.7789	-1.040	4.6520	37520.892	2.0	6.7430	54385.963	1.0	3.0	0.690	0.760	AO	2.09E+08	8.320	-6.060	984.281	-7.148	984.281	1.000	0.470	41.300	d	f	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	592.7792	592.7592	592.8022		214697	214677	214720	0.303	0.283	592.7592	592.8022	214677	214720	592.7793	0.0054	-0.3024	1.000	9999.0000	0.0019	0.0126	6.3862	46944	0.302	0.300	0.0041	-5.16	40.6	0.0	0.0	0.000	0.000	0.0000	0.006	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5934.655	593.4655	-1.070	3.9280	31681.441	2.0	6.0170	48530.378	3.0	7.0	1.170	1.110	AO	6.03E+07	7.780	-5.290	959.247	-7.153	959.247	1.000	0.640	77.320	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	593.4662	593.4412	593.4892		215384	215359	215407	0.481	0.460	593.4412	593.4892	215359	215407	593.4661	0.0059	-0.4797	1.000	9999.0000	0.0014	0.0138	6.9876	42904	0.480	0.475	0.0071	-4.92	70.6	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5956.694	595.6694	-4.605	0.8589	6927.492	5.0	2.9400	23712.699	4.0	9.0	1.400	1.750	AO	1.00E+04	4.000	-6.170	227.252	-7.780	227.252	1.000	0.610	49.670	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	F	T	T	595.6704	595.6534	595.6914		217588	217571	217609	0.406	0.385	595.6534	595.6914	217571	217609	595.6703	0.0053	-0.4040	1.000	9999.0000	0.0016	0.0124	6.2503	47965	0.404	0.401	0.0053	-5.05	53.4	0.0	0.0	0.000	0.000	0.0000	0.011	0.0000	0.0000	0	0.000	False	False	False
Fe 1	5987.065	598.7065	-0.212	4.7950	38674.264	2.0	6.8660	55378.025	1.0	3.0	1.150	1.460	GA	2.00E+08	8.300	-4.860	-7.420	-7.420	-7.420	1.000	0.610	67.120	p	d	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	598.7066	598.6816	598.7306		220624	220599	220648	0.445	0.425	598.6816	598.7306	220599	220648	598.7067	0.0062	-0.4446	1.000	9999.0000	0.0016	0.0146	7.3251	40927	0.445	0.437	0.0069	-4.94	69.2	0.0	0.0	0.000	0.000	0.0000	0.014	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6003.012	600.3012	-1.060	3.8810	31302.361	4.0	5.9460	47957.725	4.0	9.0	1.250	1.290	AO	5.62E+07	7.750	-5.380	898.241	-7.181	898.241	1.000	0.650	83.130	p	s	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	600.3017	600.2767	600.3307		222219	222194	222248	0.511	0.490	600.2767	600.3307	222194	222248	600.3020	0.0062	-0.5094	1.000	9999.0000	0.0014	0.0145	7.2498	41352	0.509	0.502	0.0079	-4.88	78.7	0.0	0.0	0.000	0.000	0.0000	0.016	0.0000	0.0000	0	0.000	False	False	False
Fe 1	6005.541	600.5541	-3.430	2.5880	20873.618	3.0	4.6520	37520.911	2.0	5.0	1.070	0.690	GA	1.17E+08	8.070	-6.290	-7.750	-7.750	-7.750	1.000	0.280	18.080	s	p	F	0	1	26.0	26.0	26.0	Melendez20	F	0	0	none	none	T	T	T	T	T	T	600.5547	600.5367	600.5717		222472	222454	222489	0.178	0.157	600.5367	600.5717	222454	222489	600.5547	0.0050	-0.1779	1.000	9999.0000	0.0028	0.0117	5.8541	51211	0.178	0.176	0.0022	-5.43	22.2	0.0	0.0	0.000	0.000	0.0000	0.004	0.0000	0.0000	0	0.000	False	False	False
